country,alpha2,subdivision,district,label,region,sub_country
Other,Other,Other,Other,Other,,
Worldwide,Worldwide,Worldwide,Worldwide,Worldwide,,
Andorra,AD,2,Canillo,Andorra - Canillo,,
Andorra,AD,3,Encamp,Andorra - Encamp,,
Andorra,AD,4,La Massana,Andorra - La Massana,,
Andorra,AD,5,Ordino,Andorra - Ordino,,
Andorra,AD,6,Sant Juli de Lria,Andorra - Sant Juli de Lria,,
Andorra,AD,7,Andorra la Vella,Andorra - Andorra la Vella,,
Andorra,AD,8,Escaldes-Engordany,Andorra - Escaldes-Engordany,,
United Arab Emirates,AE,AJ,Ajman,United Arab Emirates - Ajman,,
United Arab Emirates,AE,AZ,Abu Dhabi,United Arab Emirates - Abu Dhabi,,
United Arab Emirates,AE,DU,Dubai,United Arab Emirates - Dubai,,
United Arab Emirates,AE,FU,Al Fujayrah,United Arab Emirates - Al Fujayrah,,
United Arab Emirates,AE,RK,Ras al Khaymah,United Arab Emirates - Ras al Khaymah,,
United Arab Emirates,AE,SH,Sharjah,United Arab Emirates - Sharjah,,
United Arab Emirates,AE,UQ,Umm al Qaywayn,United Arab Emirates - Umm al Qaywayn,,
Afghanistan,AF,BAL,Balkh,Afghanistan - Balkh,,
Afghanistan,AF,BAM,Bamyan,Afghanistan - Bamyan,,
Afghanistan,AF,BDG,Badghis,Afghanistan - Badghis,,
Afghanistan,AF,BDS,Badakhshan,Afghanistan - Badakhshan,,
Afghanistan,AF,BGL,Baghlan,Afghanistan - Baghlan,,
Afghanistan,AF,DAY,Daykundi,Afghanistan - Daykundi,,
Afghanistan,AF,FRA,Farah,Afghanistan - Farah,,
Afghanistan,AF,FYB,Faryab,Afghanistan - Faryab,,
Afghanistan,AF,GHA,Ghazni,Afghanistan - Ghazni,,
Afghanistan,AF,GHO,Ghor,Afghanistan - Ghor,,
Afghanistan,AF,HEL,Helmand,Afghanistan - Helmand,,
Afghanistan,AF,HER,Herat,Afghanistan - Herat,,
Afghanistan,AF,JOW,Jowzjan,Afghanistan - Jowzjan,,
Afghanistan,AF,KAB,Kabul,Afghanistan - Kabul,,
Afghanistan,AF,KAN,Kandahar,Afghanistan - Kandahar,,
Afghanistan,AF,KAP,Kapisa,Afghanistan - Kapisa,,
Afghanistan,AF,KDZ,Kunduz,Afghanistan - Kunduz,,
Afghanistan,AF,KHO,Khost,Afghanistan - Khost,,
Afghanistan,AF,KNR,Kunar,Afghanistan - Kunar,,
Afghanistan,AF,LAG,Laghman,Afghanistan - Laghman,,
Afghanistan,AF,LOG,Logar,Afghanistan - Logar,,
Afghanistan,AF,NAN,Nangarhar,Afghanistan - Nangarhar,,
Afghanistan,AF,NIM,Nimroz,Afghanistan - Nimroz,,
Afghanistan,AF,NUR,Nuristan,Afghanistan - Nuristan,,
Afghanistan,AF,PAN,Panjshayr,Afghanistan - Panjshayr,,
Afghanistan,AF,PAR,Parwan,Afghanistan - Parwan,,
Afghanistan,AF,PIA,Paktiya,Afghanistan - Paktiya,,
Afghanistan,AF,PKA,Paktika,Afghanistan - Paktika,,
Afghanistan,AF,SAM,Samangan,Afghanistan - Samangan,,
Afghanistan,AF,SAR,Sar-e Pul,Afghanistan - Sar-e Pul,,
Afghanistan,AF,TAK,Takhar,Afghanistan - Takhar,,
Afghanistan,AF,URU,Uruzgan,Afghanistan - Uruzgan,,
Afghanistan,AF,WAR,Wardak,Afghanistan - Wardak,,
Afghanistan,AF,ZAB,Zabul,Afghanistan - Zabul,,
Antigua and Barbuda,AG,3,Saint George,Antigua and Barbuda - Saint George,,
Antigua and Barbuda,AG,4,Saint Johns,Antigua and Barbuda - Saint Johns,,
Antigua and Barbuda,AG,5,Saint Mary,Antigua and Barbuda - Saint Mary,,
Antigua and Barbuda,AG,6,Saint Paul,Antigua and Barbuda - Saint Paul,,
Antigua and Barbuda,AG,7,Saint Peter,Antigua and Barbuda - Saint Peter,,
